,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,OtherFuelUse_kBtu,GHGEmissions_MetricTonsCO2e,GHGEmissionsIntensity_kgCO2e_ft2
5261,23836,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,24221,24221.0,0.0,0.0,,20.0,1435562.5,0.0,1435563.0,0.0,0.0,10.01,0.41
5262,23846,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,34030,34030.0,0.0,0.0,,50.0,1748629.75,0.0,1530330.0,218300.0,0.0,22.26,0.65
5264,23857,NonResidential,Mixed Use Property,DOWNTOWN,1.0,57836,34550.0,23085.0,11465.0,,37.0,5381105.0,0.0,5381104.0,0.0,1.0,37.51,0.52
5265,23858,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,32027,17526.0,14501.0,0.0,,54.0,3999505.25,0.0,1820615.0,2178890.0,0.25,128.41,4.01
5266,23861,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,32160,35693.0,14219.0,0.0,,,2805826.0,0.0,2805826.0,0.0,0.0,19.56,0.61
5267,23863,NonResidential,Other,GREATER DUWAMISH,1.0,40264,43336.0,4500.0,0.0,,,3540225.5,0.0,1699980.0,1840246.0,0.0,109.59,2.29
5268,23867,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,34425,34425.0,15536.0,0.0,,84.0,2018385.5,0.0,1238171.0,780215.0,0.0,50.07,1.45
5269,23874,Multifamily MR (5-9),Mid-Rise Multifamily,CENTRAL,1.0,142586,94700.0,32565.0,4881.0,,,4354499.0,0.0,1133513.0,3220986.0,0.0,178.97,1.26
5271,23882,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHWEST,1.0,29358,29358.0,0.0,0.0,,,803938.0,0.0,498498.0,305440.0,0.0,19.7,0.67
5272,23883,Multifamily MR (5-9),Mid-Rise Multifamily,LAKE UNION,1.0,92841,46893.0,1076.0,900.0,,,1712279.75,0.0,1649324.0,62956.0,0.0,14.84,0.16
5273,23888,NonResidential,Medical Office,SOUTHWEST,1.0,28304,20106.0,16412.0,0.0,,5.0,1961581.5,0.0,1961581.0,0.0,0.5,13.67,0.34
5274,23890,Multifamily MR (5-9),Mid-Rise Multifamily,BALLARD,1.0,82082,62472.0,13326.0,0.0,,11.0,2594119.0,0.0,2442318.0,151801.0,0.0,25.09,0.31
5275,23891,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHWEST,1.0,33852,33852.0,0.0,0.0,,88.0,1203400.5,0.0,497414.0,705986.0,0.5,40.96,1.21
5276,23892,Multifamily HR (10+),High-Rise Multifamily,DOWNTOWN,1.0,154889,93207.0,61682.0,0.0,,73.0,4268054.0,0.0,2929233.0,1338821.0,0.0,91.53,0.59
5277,23894,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHEAST,1.0,193946,163183.0,36869.0,21811.0,,80.0,8819864.0,0.0,5406257.0,3413606.0,1.0,218.99,1.13
5278,23896,NonResidential,Distribution Center,GREATER DUWAMISH,1.0,29619,15000.0,14619.0,0.0,,50.0,1280263.5,0.0,553737.0,726527.0,0.0,42.45,1.43
5279,23905,Multifamily LR (1-4),Low-Rise Multifamily,CENTRAL,1.0,34846,34846.0,0.0,0.0,,67.0,1034827.313,0.0,1034827.0,0.0,0.31299999996554106,7.21,0.21
5280,23906,NonResidential,K-12 School,CENTRAL,1.0,21592,20700.0,0.0,0.0,,47.0,1431784.0,0.0,472592.0,959192.0,0.0,54.24,2.51
5281,23909,Multifamily MR (5-9),Mid-Rise Multifamily,CENTRAL,1.0,62538,62780.0,0.0,0.0,,82.0,1872413.0,0.0,1872413.0,0.0,0.0,13.05,0.21
5282,23910,NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,25200,16000.0,8000.0,0.0,,47.0,1748444.25,0.0,1208901.0,539543.0,0.25,37.08,1.47
5284,23918,NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,28296,26899.0,0.0,0.0,,80.0,1328461.25,0.0,1328461.0,0.0,0.25,9.26,0.33
5285,23924,Multifamily MR (5-9),Other,DOWNTOWN,1.0,42360,81900.0,31924.0,4049.0,,,1527695.5,0.0,1527695.0,0.0,0.5,10.65,0.09
5286,23925,Multifamily MR (5-9),Mid-Rise Multifamily,Central,1.0,71597,40043.0,4480.0,0.0,,,1570758.25,0.0,1570758.0,0.0,0.25,10.95,0.15
5287,23928,NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,31357,25500.0,5000.0,0.0,,55.0,1965075.625,0.0,1774664.0,190411.0,0.625,22.48,0.72
5288,23930,NonResidential,Distribution Center,GREATER DUWAMISH,1.0,160000,160000.0,0.0,0.0,,94.0,1157976.0,0.0,1157977.0,0.0,0.0,8.07,0.05
5289,23934,NonResidential,Warehouse,GREATER DUWAMISH,1.0,53550,53550.0,0.0,0.0,,11.0,4590246.5,0.0,1499028.0,3091218.0,0.5,174.62,3.26
5290,23935,NonResidential,Warehouse,GREATER DUWAMISH,1.0,38412,32000.0,8000.0,0.0,,62.0,1628540.0,0.0,421294.0,1207246.0,0.0,67.05,1.75
5291,23936,NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,25881,25881.0,0.0,0.0,,,545426.375,0.0,545426.0,0.0,0.375,3.8,0.15
5292,23937,Multifamily MR (5-9),Mid-Rise Multifamily,NORTHEAST,1.0,91560,91560.0,0.0,0.0,,76.0,2506927.5,0.0,2506927.0,0.0,0.5,17.48,0.19
5293,23939,Multifamily MR (5-9),Mid-Rise Multifamily,CENTRAL,1.0,23286,22282.0,10904.0,2236.0,,,941688.75,0.0,941689.0,0.0,0.0,6.56,0.28
5294,23940,Multifamily LR (1-4),Low-Rise Multifamily,NORTHWEST,1.0,37456,37456.0,0.0,0.0,,72.0,985966.625,0.0,985966.0,0.0,0.625,6.87,0.18
5295,23944,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,1.0,50784,50784.0,0.0,0.0,,63.0,1802805.125,0.0,1474780.0,328025.0,0.125,27.7,0.55
5296,23948,Multifamily HR (10+),High-Rise Multifamily,EAST,1.0,38220,38220.0,0.0,0.0,,40.0,3356932.25,0.0,623335.0,2733597.0,0.25,149.53,3.91
5297,23949,Multifamily LR (1-4),Low-Rise Multifamily,CENTRAL,1.0,35251,35254.0,0.0,0.0,,46.0,798322.375,0.0,798322.0,0.0,0.375,5.57,0.16
5298,23951,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,24291,24023.0,0.0,0.0,,98.0,655421.75,0.0,329487.0,325936.0,0.0,19.61,0.81
5299,23952,NonResidential,Warehouse,GREATER DUWAMISH,1.0,36544,36544.0,0.0,0.0,,5.0,1269847.75,0.0,1269847.0,0.0,0.75,8.85,0.24
5300,23953,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,35456,35456.0,0.0,0.0,,86.0,953432.1875,0.0,600478.0,352954.0,0.1875,22.93,0.65
5301,23956,NonResidential,K-12 School,NORTH,1.0,23923,23923.0,0.0,0.0,,69.0,805643.5,0.0,504519.0,301124.0,0.5,19.51,0.82
5302,23958,NonResidential,Warehouse,GREATER DUWAMISH,1.0,20796,20796.0,0.0,0.0,,,1324092.125,0.0,416703.0,907389.0,0.125,51.1,2.46
5303,23960,NonResidential,Distribution Center,GREATER DUWAMISH,1.0,21349,13000.0,8349.0,0.0,,70.0,659761.75,0.0,390044.0,269718.0,0.0,17.04,0.8
5304,23963,NonResidential,Warehouse,GREATER DUWAMISH,1.0,38630,38500.0,0.0,0.0,,33.0,416885.18759999995,0.0,416886.0,0.0,0.0,2.91,0.08
5305,23964,NonResidential,Warehouse,GREATER DUWAMISH,1.0,20724,19224.0,1500.0,0.0,,,1832031.0,0.0,303491.0,1528541.0,0.0,83.3,4.02
5306,23969,NonResidential,Other,GREATER DUWAMISH,1.0,24109,24109.0,0.0,0.0,,,4747403.5,0.0,4747403.0,0.0,0.5,33.1,1.37
5307,23971,NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,25375,23419.0,2266.0,0.0,,,4069301.5,0.0,4069301.0,0.0,0.5,28.37,1.12
5308,23975,Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,22803,19373.0,3430.0,0.0,,78.0,764094.5,0.0,413650.0,350444.0,0.5,21.5,0.94
5309,23976,Nonresidential COS,Mixed Use Property,GREATER DUWAMISH,1.0,23100,11550.0,11550.0,0.0,,,4323672.0,0.0,1572644.0,2751028.0,0.0,157.07,6.8
5310,23977,NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,41550,41550.0,0.0,0.0,,94.0,642645.1875,0.0,642645.0,0.0,0.1875,4.48,0.11
5311,24009,NonResidential,Other,GREATER DUWAMISH,1.0,54170,54170.0,0.0,0.0,,,5804784.5,0.0,2816387.0,2988397.0,0.5,178.35,3.29
5313,24018,NonResidential,K-12 School,SOUTHEAST,1.0,42252,42252.0,0.0,0.0,,49.0,2203758.0,0.0,318351.0,1885408.0,0.0,102.35,2.42
5314,24026,NonResidential,Self-Storage Facility,GREATER DUWAMISH,1.0,23100,23250.0,0.0,0.0,,,863703.0,0.0,693592.0,170111.0,0.0,13.87,0.6
5315,24029,NonResidential,Worship Facility,SOUTHEAST,1.0,22895,22895.0,0.0,0.0,,96.0,440419.1875,0.0,226988.0,213431.0,0.1875,12.92,0.56
5317,24031,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHEAST,1.0,22170,15000.0,7200.0,0.0,,,706879.5,0.0,655269.0,51610.0,0.5,7.31,0.33
5318,24033,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHEAST,1.0,21640,21640.0,0.0,0.0,,89.0,592221.0,0.0,592221.0,0.0,0.0,4.13,0.19
5319,24034,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHEAST,1.0,88043,66286.0,21744.0,0.0,,82.0,2468322.5,0.0,1547355.0,920967.0,0.5,59.7,0.68
5321,24036,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHEAST,1.0,207915,175880.0,89425.0,13528.0,,75.0,9367205.0,0.0,4007228.0,5359977.0,0.0,312.6,1.08
5322,24037,Multifamily LR (1-4),Low-Rise Multifamily,Northwest,1.0,35577,28567.0,7010.0,0.0,,55.0,1026041.125,0.0,1026041.0,0.0,0.125,7.15,0.2
5323,24045,Multifamily LR (1-4),Low-Rise Multifamily,NORTHWEST,1.0,27390,19386.0,3900.0,0.0,,,823032.375,0.0,823032.0,0.0,0.375,5.74,0.14
5324,24053,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,20176,22000.0,1279.0,0.0,,59.0,615327.625,0.0,615328.0,0.0,0.0,4.29,0.19
5325,24062,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,1.0,37091,37091.0,0.0,0.0,,87.0,793060.75,0.0,793061.0,0.0,0.0,5.53,0.15
5326,24069,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,30110,26012.0,4098.0,0.0,,96.0,522791.0938,0.0,522791.0,0.0,0.09379999997327104,3.64,0.12
5327,24070,NonResidential,Self-Storage Facility,NORTHEAST,1.0,41047,48179.0,0.0,0.0,,,797170.3125,0.0,652860.0,144310.0,0.3125,12.22,0.25
5328,24072,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,1.0,25300,25300.0,0.0,0.0,,81.0,646505.1875,0.0,646505.0,0.0,0.1875,4.51,0.18
5329,24077,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,26390,14502.0,0.0,0.0,,,826416.5,0.0,826416.0,0.0,0.5,5.76,0.22
5330,24083,NonResidential,Warehouse,GREATER DUWAMISH,1.0,52325,52325.0,0.0,0.0,,67.0,808968.1875,0.0,540429.0,268539.0,0.1875,18.03,0.34
5331,24085,NonResidential,Other,GREATER DUWAMISH,1.0,20600,20600.0,0.0,0.0,,,270838.0,0.0,101274.0,169565.0,0.0,9.71,0.47
5332,24086,Campus,Other,GREATER DUWAMISH,10.0,230971,230970.0,0.0,0.0,,,21022288.0,0.0,15419770.0,5602515.0,3.0,405.05,1.75
5333,24089,NonResidential,Retail Store,GREATER DUWAMISH,1.0,25880,25880.0,0.0,0.0,,100.0,162960.0,0.0,162960.0,0.0,0.0,1.14,0.04
5334,24091,NonResidential,Warehouse,GREATER DUWAMISH,1.0,45842,49802.0,22198.0,0.0,,99.0,819354.625,0.0,671187.0,148167.0,0.625,12.55,0.27
5335,24099,NonResidential,Other,GREATER DUWAMISH,1.0,31365,31365.0,0.0,0.0,,,652991.375,0.0,641398.0,11594.0,0.0,5.09,0.16
5336,24100,NonResidential,Other,GREATER DUWAMISH,1.0,32100,32100.0,0.0,0.0,,,758008.75,0.0,314021.0,443988.0,0.0,25.77,0.8
5337,24102,NonResidential,Warehouse,GREATER DUWAMISH,1.0,20520,15400.0,5120.0,0.0,,20.0,1167887.5,0.0,458877.0,709011.0,0.0,40.85,1.99
5338,24104,NonResidential,Warehouse,GREATER DUWAMISH,1.0,22972,22972.0,0.0,0.0,,12.0,495481.0,0.0,495481.0,0.0,0.0,3.45,0.15
5339,24105,NonResidential,Warehouse,GREATER DUWAMISH,1.0,24990,25649.0,6728.0,0.0,,80.0,523614.0938,0.0,414213.0,109401.0,0.09379999997327104,8.7,0.35
5340,24106,NonResidential,Retail Store,GREATER DUWAMISH,1.0,24000,22740.0,4860.0,0.0,,,1318947.25,0.0,630883.0,688064.0,0.25,40.94,1.71
5341,24108,NonResidential,Warehouse,GREATER DUWAMISH,1.0,100386,50628.0,49758.0,0.0,,,3626431.5,0.0,2095246.0,1531185.0,0.5,95.93,0.96
5342,24112,NonResidential,Distribution Center,GREATER DUWAMISH,1.0,24354,18470.0,5884.0,0.0,,10.0,735907.625,0.0,472280.0,263628.0,0.0,17.29,0.71
5343,24115,NonResidential,Distribution Center,GREATER DUWAMISH,1.0,33600,24000.0,9600.0,0.0,,58.0,847419.375,0.0,642794.0,204625.0,0.375,15.35,0.46
5344,24117,NonResidential,Other,GREATER DUWAMISH,1.0,20819,20819.0,0.0,0.0,,,1694929.75,0.0,839797.0,855134.0,0.0,51.27,2.46
5345,24118,NonResidential,Warehouse,GREATER DUWAMISH,1.0,23296,19471.0,3825.0,0.0,,,1429855.75,0.0,778664.0,651191.0,0.75,40.01,1.72
5346,24123,NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,35222,15000.0,15000.0,4232.0,,,1758134.625,0.0,1147678.0,610456.0,0.625,40.42,1.15
5347,24132,NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,25520,25200.0,0.0,0.0,,100.0,1610794.75,0.0,575346.0,1035448.0,0.75,59.0,2.31
5348,24134,Multifamily LR (1-4),Low-Rise Multifamily,GREATER DUWAMISH,1.0,28176,28176.0,6200.0,0.0,,98.0,648634.75,0.0,648635.0,0.0,0.0,4.52,0.16
5349,24136,Multifamily LR (1-4),Low-Rise Multifamily,GREATER DUWAMISH,1.0,59846,59846.0,0.0,0.0,,72.0,1986556.25,0.0,1428284.0,558272.0,0.25,39.61,0.66
5350,24137,Multifamily LR (1-4),Senior Care Community,GREATER DUWAMISH,1.0,66363,66363.0,0.0,0.0,,91.0,2168701.5,0.0,1634849.0,533852.0,0.5,39.75,0.6
5351,24138,Multifamily LR (1-4),Low-Rise Multifamily,GREATER DUWAMISH,1.0,121635,121635.0,0.0,0.0,,3.0,7308538.0,0.0,4927628.0,2380909.0,1.0,160.8,1.32
5352,24144,Multifamily LR (1-4),Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,22207,22206.0,0.0,0.0,,,628543.0,0.0,379504.0,249039.0,0.0,15.87,0.71
5353,24150,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHEAST,1.0,20645,20645.0,0.0,0.0,,,767642.625,0.0,767643.0,0.0,0.0,5.35,0.26
5354,24153,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,20278,20278.0,0.0,0.0,,77.0,498649.3125,0.0,498649.0,0.0,0.3125,3.48,0.17
5355,24156,Multifamily LR (1-4),Low-Rise Multifamily,EAST,1.0,20832,20832.0,0.0,0.0,,34.0,1633141.125,0.0,337638.0,1295503.0,0.125,71.16,3.42
5356,24160,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,1.0,67313,67313.0,0.0,0.0,,36.0,2557933.75,0.0,2557933.0,0.0,0.75,17.83,0.26
5357,24161,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,1.0,25951,25951.0,0.0,0.0,,38.0,850615.625,0.0,850616.0,0.0,0.0,5.93,0.23
5359,24163,Multifamily LR (1-4),Low-Rise Multifamily,DELRIDGE,1.0,46986,46986.0,0.0,0.0,,72.0,1433398.5,0.0,1433399.0,0.0,0.0,9.99,0.21
5361,24166,Multifamily LR (1-4),Low-Rise Multifamily,NORTHWEST,1.0,41332,32676.0,8656.0,0.0,,81.0,941257.3125,0.0,941257.0,0.0,0.3125,6.56,0.16
5362,24170,NonResidential,Small- and Mid-Sized Office,NORTH,1.0,24291,24291.0,0.0,0.0,,87.0,920430.625,0.0,920430.0,0.0,0.625,6.42,0.26
5363,24172,NonResidential,Retail Store,NORTH,1.0,20738,20738.0,0.0,0.0,,44.0,526752.625,0.0,526753.0,0.0,0.0,3.67,0.18
5364,24173,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,27344,21616.0,5728.0,0.0,,31.0,806370.3125,0.0,806370.0,0.0,0.3125,5.62,0.21
5365,24178,NonResidential,Mixed Use Property,NORTH,1.0,30948,11729.0,11729.0,0.0,,,919746.3125,0.0,919746.0,0.0,0.3125,6.41,0.21
5366,24179,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,63670,63670.0,0.0,0.0,,37.0,2100813.5,0.0,2100813.0,0.0,0.5,14.65,0.23
5367,24180,NonResidential,Medical Office,NORTH,1.0,21329,20575.0,0.0,0.0,,1.0,2654316.0,0.0,2654315.0,0.0,1.0,18.5,0.65
5368,24181,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,64195,48965.0,15230.0,0.0,,72.0,1532390.25,0.0,1532390.0,0.0,0.25,10.68,0.17
5369,24184,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,1.0,22935,22935.0,10400.0,0.0,,,493969.375,0.0,493970.0,0.0,0.0,3.44,0.15
5370,24191,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,1.0,84389,84389.0,3452.0,0.0,,91.0,2526375.0,0.0,1581385.0,944990.0,0.0,61.21,0.73
5371,24201,Multifamily LR (1-4),Low-Rise Multifamily,EAST,1.0,30920,30920.0,7260.0,0.0,,73.0,1166069.75,0.0,753948.0,412122.0,0.0,27.14,0.88
